PassengerId,Survived,Pclass,Sex,SibSp,Fare,Age,Embarked
1,0,1,Male,1,7.25,22,S
2,1,3,Female,1,71.2833,38,C
3,1,1,Female,0,7.925,26,S
4,1,3,Female,1,53.1,35,S
5,0,1,Male,0,8.05,35,S
6,0,1,Male,0,8.4583,29,Q
7,0,3,Male,0,51.8625,54,S
8,0,1,Male,3,21.075,2,S
9,1,1,Female,0,11.1333,27,S
10,1,2,Female,1,30.0708,14,C
11,1,1,Female,1,16.7,4,S
12,1,3,Female,0,26.55,58,S
13,0,1,Male,0,8.05,20,S
14,0,1,Male,1,31.275,39,S
15,0,1,Female,0,7.8542,14,S
16,1,2,Female,0,16,55,S
17,0,1,Male,4,29.125,2,Q
18,1,2,Male,0,13,29,S
19,0,1,Female,1,18,31,S
20,1,1,Female,0,7.225,37,C
21,0,2,Male,0,26,35,S
22,1,2,Male,0,13,34,S
23,1,1,Female,0,8.0292,15,Q
24,1,3,Male,0,35.5,28,S
25,0,1,Female,3,21.075,8,S
26,1,1,Female,1,31.3875,38,S
27,0,1,Male,0,7.225,29,C
28,0,3,Male,3,263,19,S
29,1,1,Female,0,7.8792,22,Q
30,0,1,Male,0,7.8958,29,S
31,0,3,Male,0,27.7208,40,C
32,1,3,Female,1,146.5208,37,C
33,1,1,Female,0,7.75,22,Q
34,0,2,Male,0,10.5,66,S
35,0,3,Male,1,82.1708,28,C
36,0,3,Male,1,52,42,S
37,1,1,Male,0,7.2292,29,C
38,0,1,Male,0,8.05,21,S
39,0,1,Female,2,18,18,S
40,1,1,Female,1,11.2417,14,C
41,0,1,Female,1,9.475,40,S
42,0,2,Female,1,21,27,S
43,0,1,Male,0,7.8958,29,C
44,1,2,Female,1,41.5792,3,C
45,1,1,Female,0,7.8792,19,Q
46,0,1,Male,0,8.05,29,S
47,0,1,Male,1,15.5,29,Q
48,1,1,Female,0,7.75,22,Q
49,0,1,Male,2,21.6792,29,C
50,0,1,Female,1,17.8,18,S
51,0,1,Male,4,39.6875,7,S
52,0,1,Male,0,7.8,21,S
53,1,3,Female,1,76.7292,49,C
54,1,2,Female,1,26,29,S
55,0,3,Male,0,61.9792,65,C
56,1,3,Male,0,35.5,29,S
57,1,2,Female,0,10.5,21,S
58,0,1,Male,0,7.2292,28.5,C
59,1,2,Female,1,27.75,5,S
60,0,1,Male,5,46.9,11,S
61,0,1,Male,0,7.2292,22,C
63,0,3,Male,1,83.475,45,S
64,0,1,Male,3,27.9,4,S
65,0,3,Male,0,27.7208,29,C
66,1,1,Male,1,15.2458,6,C
67,1,2,Female,0,10.5,29,S
68,0,1,Male,0,8.1583,19,S
69,1,1,Female,4,7.925,17,S
70,0,1,Male,2,8.6625,26,S
71,0,2,Male,0,10.5,32,S
72,0,1,Female,5,46.9,16,S
73,0,2,Male,0,73.5,21,S
74,0,1,Male,1,14.4542,26,C
75,1,1,Male,0,56.4958,32,S
76,0,1,Male,0,7.65,25,S
77,0,1,Male,0,7.8958,29,S
78,0,1,Male,0,8.05,29,S
79,1,2,Male,0,29,0.83,S
80,1,1,Female,0,12.475,30,S
81,0,1,Male,0,9,22,S
82,1,1,Male,0,9.5,29,S
83,1,1,Female,0,7.7875,22,Q
84,0,3,Male,0,47.1,28,S
85,1,2,Female,0,10.5,17,S
86,1,1,Female,3,15.85,33,S
87,0,1,Male,1,34.375,16,S
88,0,1,Male,0,8.05,29,S
89,1,3,Female,3,263,23,S
